id,firstname,surname,year,category,affiliation,city,country,born_date,died_date,gender,born_city,born_country,born_country_code,died_city,died_country,died_country_code,overall_motivation,share,motivation,born_country_original,born_city_original,died_country_original,died_city_original,city_original,country_original
675,José,Saramago,1998,Literature,NA,NA,NA,11/16/1922,6/18/2010,male,Azinhaga,Portugal,PT,Lanzarote,Spain,ES,NA,1,"""who with parables sustained by imagination compassion and irony continually enables us once again to apprehend an elusory reality""",Portugal,Azinhaga,Spain,Lanzarote,NA,NA
676,Günter,Grass,1999,Literature,NA,NA,NA,10/16/1927,4/13/2015,male,Gdansk,Poland,PL,Lübeck,Germany,DE,NA,1,"""whose frolicsome black fables portray the forgotten face of history""",Free City of Danzig (now Poland),Danzig (now Gdansk),Germany,Lübeck,NA,NA
725,Kim,Dae-jung,2000,Peace,NA,NA,NA,12/3/1925,8/18/2009,male,Mokpo,South Korea,KR,NA,NA,NA,NA,1,"""for his work for democracy and human rights in South Korea and in East Asia in general and for peace and reconciliation with North Korea in particular""",Korea (now South Korea),Mokpo,NA,NA,NA,NA
734,Gao,Xingjian,2000,Literature,NA,NA,NA,1/4/1940,NA,male,Ganzhou,China,CN,NA,NA,NA,NA,1,"""for an &aelig;uvre of universal validity bitter insights and linguistic ingenuity which has opened new paths for the Chinese novel and drama""",China,Ganzhou,NA,NA,NA,NA
747,V. S.,Naipaul,2001,Literature,NA,NA,NA,8/17/1932,8/11/2018,male,NA,NA,NA,London,United Kingdom,GB,NA,1,"""for having united perceptive narrative and incorruptible scrutiny in works that compel us to see the presence of suppressed histories""",NA,NA,United Kingdom,London,NA,NA
748,United Nations,NA,2001,Peace,NA,NA,NA,NA,NA,org,NA,NA,NA,NA,NA,NA,NA,2,"""for their work for a better organized and more peaceful world""",NA,NA,NA,NA,NA,NA
749,Kofi,Annan,2001,Peace,NA,NA,NA,4/8/1938,8/18/2018,male,Kumasi,Ghana,GH,Bern,Switzerland,CH,NA,2,"""for their work for a better organized and more peaceful world""",Gold Coast (now Ghana),Kumasi,Switzerland,Bern,NA,NA
761,Imre,Kertész,2002,Literature,NA,NA,NA,11/9/1929,3/31/2016,male,Budapest,Hungary,HU,Budapest,Hungary,HU,NA,1,"""for writing that upholds the fragile experience of the individual against the barbaric arbitrariness of history""",Hungary,Budapest,Hungary,Budapest,NA,NA
762,Jimmy,Carter,2002,Peace,NA,NA,NA,10/1/1924,NA,male,Plains GA,USA,US,NA,NA,NA,NA,1,"""for his decades of untiring effort to find peaceful solutions to international conflicts to advance democracy and human rights and to promote economic and social development""",USA,Plains GA,NA,NA,NA,NA
763,J. M.,Coetzee,2003,Literature,NA,NA,NA,2/9/1940,NA,male,Cape Town,South Africa,ZA,NA,NA,NA,NA,1,"""who in innumerable guises portrays the surprising involvement of the outsider""",South Africa,Cape Town,NA,NA,NA,NA
773,Shirin,Ebadi,2003,Peace,NA,NA,NA,6/21/1947,NA,female,Hamadan,Iran,IR,NA,NA,NA,NA,1,"""for her efforts for democracy and human rights. She has focused especially on the struggle for the rights of women and children""",Iran,Hamadan,NA,NA,NA,NA
782,Elfriede,Jelinek,2004,Literature,NA,NA,NA,10/20/1946,NA,female,Mürzzuschlag,Austria,AT,NA,NA,NA,NA,1,"""for her musical flow of voices and counter-voices in novels and plays that with extraordinary linguistic zeal reveal the absurdity of society's clich&eacute;s and their subjugating power""",Austria,Mürzzuschlag,NA,NA,NA,NA
783,Wangari,Maathai,2004,Peace,NA,NA,NA,4/1/1940,9/25/2011,female,Nyeri,Kenya,KE,Nairobi,Kenya,KE,NA,1,"""for her contribution to sustainable development democracy and peace""",Kenya,Nyeri,Kenya,Nairobi,NA,NA
797,International Atomic Energy Agency,NA,2005,Peace,NA,NA,NA,NA,NA,org,NA,NA,NA,NA,NA,NA,NA,2,"""for their efforts to prevent nuclear energy from being used for military purposes and to ensure that nuclear energy for peaceful purposes is used in the safest possible way""",NA,NA,NA,NA,NA,NA
798,Mohamed,ElBaradei,2005,Peace,NA,NA,NA,6/17/1942,NA,male,Cairo,Egypt,EG,NA,NA,NA,NA,2,"""for their efforts to prevent nuclear energy from being used for military purposes and to ensure that nuclear energy for peaceful purposes is used in the safest possible way""",Egypt,Cairo,NA,NA,NA,NA
801,Harold,Pinter,2005,Literature,NA,NA,NA,10/10/1930,12/24/2008,male,London,United Kingdom,GB,London,United Kingdom,GB,NA,1,"""who in his plays uncovers the precipice under everyday prattle and forces entry into oppression's closed rooms""",United Kingdom,London,United Kingdom,London,NA,NA
808,Orhan,Pamuk,2006,Literature,NA,NA,NA,6/7/1952,NA,male,Istanbul,Turkey,TR,NA,NA,NA,NA,1,"""who in the quest for the melancholic soul of his native city has discovered new symbols for the clash and interlacing of cultures""",Turkey,Istanbul,NA,NA,NA,NA
809,Muhammad,Yunus,2006,Peace,NA,NA,NA,6/28/1940,NA,male,Chittagong,Bangladesh,BD,NA,NA,NA,NA,2,"""for their efforts to create economic and social development from below""",British India (now Bangladesh),Chittagong,NA,NA,NA,NA
810,Grameen Bank,NA,2006,Peace,NA,NA,NA,NA,NA,org,NA,NA,NA,NA,NA,NA,NA,2,"""for their efforts to create economic and social development from below""",NA,NA,NA,NA,NA,NA
817,Doris,Lessing,2007,Literature,NA,NA,NA,10/22/1919,11/17/2013,female,Kermanshah,Iran,IR,London,United Kingdom,GB,NA,1,"""that epicist of the female experience who with scepticism fire and visionary power has subjected a divided civilisation to scrutiny""",Persia (now Iran),Kermanshah,United Kingdom,London,NA,NA
818,Intergovernmental Panel on Climate Change,NA,2007,Peace,NA,NA,NA,NA,NA,org,NA,NA,NA,NA,NA,NA,NA,2,"""for their efforts to build up and disseminate greater knowledge about man-made climate change and to lay the foundations for the measures that are needed to counteract such change""",NA,NA,NA,NA,NA,NA
819,Al,Gore,2007,Peace,NA,NA,NA,3/31/1948,NA,male,Washington DC,USA,US,NA,NA,NA,NA,2,"""for their efforts to build up and disseminate greater knowledge about man-made climate change and to lay the foundations for the measures that are needed to counteract such change""",USA,Washington DC,NA,NA,NA,NA
832,Jean-Marie Gustave,Le Clézio,2008,Literature,NA,NA,NA,4/13/1940,NA,male,Nice,France,FR,NA,NA,NA,NA,1,"""author of new departures poetic adventure and sensual ecstasy explorer of a humanity beyond and below the reigning civilization""",France,Nice,NA,NA,NA,NA
833,Martti,Ahtisaari,2008,Peace,NA,NA,NA,6/23/1937,NA,male,Vyborg,Finland,FI,NA,NA,NA,NA,1,"""for his important efforts on several continents and over more than three decades to resolve international conflicts""",Finland,Viipuri (now Vyborg),NA,NA,NA,NA
844,Herta,Müller,2009,Literature,NA,NA,NA,8/17/1953,NA,female,Nitzkydorf Banat,Romania,RO,NA,NA,NA,NA,1,"""who with the concentration of poetry and the frankness of prose depicts the landscape of the dispossessed""",Romania,Nitzkydorf Banat,NA,NA,NA,NA
845,Barack,Obama,2009,Peace,NA,NA,NA,8/4/1961,NA,male,Honolulu HI,USA,US,NA,NA,NA,NA,1,"""for his extraordinary efforts to strengthen international diplomacy and cooperation between peoples""",USA,Honolulu HI,NA,NA,NA,NA
854,Mario,Vargas Llosa,2010,Literature,NA,NA,NA,3/28/1936,NA,male,Arequipa,Peru,PE,NA,NA,NA,NA,1,"""for his cartography of structures of power and his trenchant images of the individual's resistance revolt and defeat""",Peru,Arequipa,NA,NA,NA,NA
855,Liu,Xiaobo,2010,Peace,NA,NA,NA,12/28/1955,7/13/2017,male,Changchun,China,CN,Shenyang,China,CN,NA,1,"""for his long and non-violent struggle for fundamental human rights in China""",China,Changchun,China,Shenyang,NA,NA
868,Tomas,Tranströmer,2011,Literature,NA,NA,NA,4/15/1931,3/26/2015,male,Stockholm,Sweden,SE,Stockholm,Sweden,SE,NA,1,"""because through his condensed translucent images he gives us fresh access to reality""",Sweden,Stockholm,Sweden,Stockholm,NA,NA
869,Ellen,Johnson Sirleaf,2011,Peace,NA,NA,NA,10/29/1938,NA,female,Monrovia,Liberia,LR,NA,NA,NA,NA,3,"""for their non-violent struggle for the safety of women and for womens rights to full participation in peace-building work""",Liberia,Monrovia,NA,NA,NA,NA
870,Leymah,Gbowee,2011,Peace,NA,NA,NA,2/1/1972,NA,female,Monrovia,Liberia,LR,NA,NA,NA,NA,3,"""for their non-violent struggle for the safety of women and for womens rights to full participation in peace-building work""",Liberia,Monrovia,NA,NA,NA,NA
871,Tawakkol,Karman,2011,Peace,NA,NA,NA,2/7/1979,NA,female,Ta'izz,Yemen,YE,NA,NA,NA,NA,3,"""for their non-violent struggle for the safety of women and for womens rights to full participation in peace-building work""",Yemen,Ta'izz,NA,NA,NA,NA
880,Mo,Yan,2012,Literature,NA,NA,NA,2/2/1955,NA,male,Gaomi,China,CN,NA,NA,NA,NA,1,"""who with hallucinatory realism merges folk tales history and the contemporary""",China,Gaomi,NA,NA,NA,NA
881,European Union (EU),NA,2012,Peace,NA,NA,NA,NA,NA,org,NA,NA,NA,NA,NA,NA,NA,1,"""for over six decades contributed to the advancement of peace and reconciliation democracy and human rights in Europe""",NA,NA,NA,NA,NA,NA
892,Alice,Munro,2013,Literature,NA,NA,NA,7/10/1931,NA,female,Wingham,Canada,CA,NA,NA,NA,NA,1,"""master of the contemporary short story""",Canada,Wingham,NA,NA,NA,NA
893,Organisation for the Prohibition of Chemical Weapons,NA,2013,Peace,NA,NA,NA,NA,NA,org,NA,NA,NA,NA,NA,NA,NA,1,"""for its extensive efforts to eliminate chemical weapons""",NA,NA,NA,NA,NA,NA
912,Patrick,Modiano,2014,Literature,NA,NA,NA,7/30/1945,NA,male,Paris,France,FR,NA,NA,NA,NA,1,"""for the art of memory with which he has evoked the most ungraspable human destinies and
uncovered the life-world of the occupation""",France,Paris,NA,NA,NA,NA
913,Kailash,Satyarthi,2014,Peace,NA,NA,NA,1/11/1954,NA,male,Vidisha,India,IN,NA,NA,NA,NA,2,"""for their struggle against the suppression of children and young people and for the right of all children to education""",India,Vidisha,NA,NA,NA,NA
914,Malala,Yousafzai,2014,Peace,NA,NA,NA,7/12/1997,NA,female,Mingora,Pakistan,PK,NA,NA,NA,NA,2,"""for their struggle against the suppression of children and young people and for the right of all children to education""",Pakistan,Mingora,NA,NA,NA,NA
924,Svetlana,Alexievich,2015,Literature,NA,NA,NA,5/31/1948,NA,female,Ivano-Frankivsk,Ukraine,UA,NA,NA,NA,NA,1,"""for her polyphonic writings a monument to suffering and courage in our time""",Ukraine,Ivano-Frankivsk,NA,NA,NA,NA
925,National Dialogue Quartet,NA,2015,Peace,NA,NA,NA,NA,NA,org,NA,NA,NA,NA,NA,NA,NA,1,"""for its decisive contribution to the building of a pluralistic democracy in Tunisia in the wake of the Jasmine Revolution of 2011""",NA,NA,NA,NA,NA,NA
934,Juan Manuel,Santos,2016,Peace,NA,NA,NA,8/10/1951,NA,male,Bogotá,Colombia,CO,NA,NA,NA,NA,1,"""for his resolute efforts to bring the country's more than 50-year-long civil war to an end""",Colombia,Bogotá,NA,NA,NA,NA
937,Bob,Dylan,2016,Literature,NA,NA,NA,5/24/1941,NA,male,Duluth MN,USA,US,NA,NA,NA,NA,1,"""for having created new poetic expressions within the great American song tradition""",USA,Duluth MN,NA,NA,NA,NA
947,Kazuo,Ishiguro,2017,Literature,NA,NA,NA,11/8/1954,NA,male,Nagasaki,Japan,JP,NA,NA,NA,NA,1,"""who in novels of great emotional force has uncovered the abyss beneath our illusory sense of connection with the world""",Japan,Nagasaki,NA,NA,NA,NA
948,International Campaign to Abolish Nuclear Weapons (ICAN),NA,2017,Peace,NA,NA,NA,NA,NA,org,NA,NA,NA,NA,NA,NA,NA,1,"""for its work to draw attention to the catastrophic humanitarian consequences of any use of nuclear weapons and for its ground-breaking efforts to achieve a treaty-based prohibition of such weapons""",NA,NA,NA,NA,NA,NA
966,Denis,Mukwege,2018,Peace,NA,NA,NA,3/1/1955,NA,male,Bukavu,Democratic Republic of Congo,CD,NA,NA,NA,NA,2,"""for their efforts to end the use of sexual violence as a weapon of war and armed conflict""",Belgian Congo (now Democratic Republic of the Congo),Bukavu,NA,NA,NA,NA
967,Nadia,Murad,2018,Peace,NA,NA,NA,NA,NA,female,Kojo,Iraq,IQ,NA,NA,NA,NA,2,"""for their efforts to end the use of sexual violence as a weapon of war and armed conflict""",Iraq,Kojo,NA,NA,NA,NA
